lane,Country,Year,Serotype,ST
4330_3_1,Germany,1998,23F,81
4330_3_11,Germany,2001,23F,81
4330_3_8,Germany,1992,23F,81
4330_3_7,Germany,1992,23F,81
4330_3_6,Germany,1992,23F,81
4330_3_5,Germany,1992,23F,81
4330_3_4,Germany,1992,23F,81
4330_3_3,Germany,1992,23F,81
4330_3_2,Germany,1993,23F,81
4330_3_12,Germany,1993,23F,81
4330_3_10,Germany,1993,23F,81
4330_3_9,Germany,1993,23F,81
4232_8_1,Germany,1994,23F,81
4232_8_11,Germany,1995,23F,81
4232_8_8,Germany,1995,23F,81
4232_8_7,Germany,1995,19F,1591
4232_8_6,Germany,1996,23F,81
4232_8_5,Germany,1996,23F,81
4232_8_4,Germany,2000,23F,1595
4232_8_3,Germany,2000,23F,81
4232_8_2,Spain,2001,19A,81
4232_8_12,Spain,2001,19A,81
4232_8_10,Portugal,2002,23F,81
4232_8_9,Spain,2002,19F,81
4232_3_1,France,2002,23F,1598
4232_3_11,France,2002,23F,81
4232_3_8,France,no data,23F,81
4232_3_7,France,no data,23F,81
4232_3_6,France,no data,23F,81
4232_3_5,France,no data,23F,81
4232_3_4,France,no data,23F,81
4232_3_3,France,no data,23F,81
4232_3_2,France,no data,23F,81
4232_3_12,Spain,no data,23F,81
4232_3_10,Spain,no data,23F,81
4232_3_9,Spain,no data,23F,81
4232_5_12,Spain,no data,23F,81
4232_5_2,Spain,no data,23F,81
4232_5_5,Spain,no data,23F,81
4232_5_6,Spain,no data,23F,81
4232_5_7,Spain,no data,23F,81
4232_5_8,Spain,no data,23F,81
4232_5_9,Spain,no data,23F,81
4232_5_10,Spain,no data,23F,81
4232_5_11,Spain,no data,23F,81
4232_5_1,Spain,no data,23F,81
4232_5_3,Germany,1998,23F,81
4232_5_4,Germany,1999,23F,81
4232_6_1,Germany,1997,no data,81
4232_6_10,Russia,2004,23F,81
4232_6_8,Russia,2004,23F,81
4232_6_7,Russia,2005,no data,81
4232_6_6,Russia,2004,23F,81
4232_6_5,Russia,2003,23F,81
4232_6_4,Russia,2003,23F,81
4232_6_3,Russia,2004,23F,81
4232_6_2,Russia,2005,23F,SLV81 ?
4232_6_11,Russia,2004,no data,81
4232_6_9,Russia,2005,no data,81
4232_7_1,France,1978,23F,
4311_7_10,South Africa,1996,23F,
4311_7_9,South Africa,1995,23F,
4311_8_1,South Africa,1990,23F,
4311_8_11,South Africa,1995,23F,
4311_8_8,South Africa,1994,23F,
4311_8_7,South Africa,1995,23F,
4311_8_6,South Africa,1996,23F,
4311_8_5,South Africa,1996,23F,
4311_8_4,South Africa,1990,23F,
4311_8_3,South Africa,1995,23F,
4311_8_2,South Africa,1990,23F,
4311_8_12,South Africa,1989,23F,
4311_8_10,South Africa,1991,23F,
4311_8_9,South Africa,1996,23F,
4311_1_1,South Africa,2001,23F,
4311_1_11,South Africa,2001,23F,
4311_1_8,South Africa,2001,23F,
4311_1_7,South Africa,2001,23F,
4311_1_6,South Africa,2001,23F,
4311_1_5,South Africa,2001,23F,
4311_1_4,South Africa,2002,23F,
4311_1_3,South Africa,2002,23F,
4311_1_2,South Africa,2002,23F,
4311_1_12,South Africa,2002,23F,
4311_1_10,South Africa,2002,23F,
4311_1_9,South Africa,2002,23F,
4311_2_1,South Africa,2002,23F,
4311_2_11,South Africa,2003,23F,
4311_2_8,South Africa,2003,23F,
4311_2_7,South Africa,2003,23F,
4311_2_6,South Africa,2003,23F,
4311_2_5,South Africa,2003,23F,
4311_2_4,South Africa,2003,23F,
4311_2_3,South Africa,2003,23F,
4311_2_2,South Africa,2003,23F,
4311_2_12,South Africa,2003,23F,
4311_2_10,South Africa,2003,23F,
4311_2_9,South Africa,2003,23F,
4311_3_1,South Africa,2003,23F,
4311_3_11,South Africa,2003,23F,
4311_3_8,South Africa,2003,23F,
4311_3_7,South Africa,2004,23F,
4311_3_6,South Africa,2004,23F,
4311_3_5,South Africa,2004,23F,
4311_3_4,South Africa,2004,23F,
4311_3_3,South Africa,2004,23F,
4311_3_2,South Africa,2004,23F,
4311_3_12,South Africa,2004,23F,
4311_3_10,South Africa,2004,23F,
4311_3_9,South Africa,2004,23F,
4311_5_1,South Africa,2004,23F,
4311_5_11,South Africa,2005,23F,
4311_5_8,South Africa,2005,23F,
4311_5_7,South Africa,2005,23F,
4311_5_6,South Africa,2005,23F,
4311_5_5,South Africa,2005,23F,
4311_5_4,South Africa,2005,23F,
4311_5_3,South Africa,2005,23F,
4311_5_2,South Africa,2005,23F,
4311_5_12,South Africa,2005,23F,
4311_5_10,South Africa,2005,23F,
4311_5_9,South Africa,2005,23F,
4311_6_1,South Africa,2006,23F,
