Lane,Sample,Name,Country,Region,Year,Source,AMR,Predicted_AMR,Cluster,SubCluster
12227_3#21,1,2013_02479,DZ,North_Africa,2013,Human,Susceptible,Susceptible,Continental,Vietnam_1
12227_3#27,1,2006_3740,FR,Europe,2006,Seafood_and_Fish,Susceptible,Susceptible,Continental,Vietnam_2
12227_3#28,1,2006_3866,FR,Europe,2006,Seafood_and_Fish,Susceptible,Susceptible,Continental,Vietnam_2
12227_3#44,1,2013_2776,FR,Europe,2013,Food_Meat_and_Vegetables,Resistant,Resistant,Continental,Vietnam_resistance
12227_3#53,1,2013_1005,FR,Europe,2013,Food_Meat_and_Vegetables,Susceptible,Susceptible,Continental,Vietnam_2
12227_3#51,1,2013_101,FR,Europe,2013,Seafood_and_Fish,Susceptible,Susceptible,Continental,Vietnam_2
12227_3#54,1,2013_1032,FR,Europe,2013,Food_Meat_and_Vegetables,Susceptible,Susceptible,Continental,Vietnam_2
12227_3#55,1,2013_1051,FR,Europe,2013,Food_Meat_and_Vegetables,Susceptible,Susceptible,Islands,Oceania
12227_3#56,1,2013_1418,FR,Europe,2013,Seafood_and_Fish,Susceptible,Susceptible,Continental,Vietnam_1
12227_3#57,1,2013_1467,FR,Europe,2013,Food_Meat_and_Vegetables,Susceptible,Susceptible,Islands,Oceania
12227_3#35,1,2013_4066,FR,Europe,2013,Seafood_and_Fish,Susceptible,Susceptible,Islands,Oceania
12227_3#50,1,2013_71,FR,Europe,2013,Food_Meat_and_Vegetables,Susceptible,Susceptible,Continental,Vietnam_2
12216_4#48,1,03_4395,GF,Latin_America,2003,Human,Susceptible,Susceptible,Continental,Vietnam_resistance
12216_4#49,1,03_5461,GF,Latin_America,2003,Human,Susceptible,Susceptible,Continental,Vietnam_resistance
12227_3#8,1,2011_07037,GF,Latin_America,2011,Human,Susceptible,Susceptible,Continental,Vietnam_resistance
12227_3#24,1,2013_04851,GF,Latin_America,2013,Human,Susceptible,Susceptible,Continental,Vietnam_2
12216_4#54,1,09_5462,GP,Latin_America,2009,Human,Susceptible,Susceptible,Continental,Vietnam_resistance
12227_3#4,1,2011_00503,GP,Latin_America,2011,Human,Susceptible,Susceptible,Continental,Vietnam_2
12227_3#10,1,2011_11351,GP,Latin_America,2011,Human,Susceptible,Susceptible,Continental,Vietnam_2
12216_4#60,1,2010_08132,IN,South_and_South_East_Asia,2010,Human,Susceptible,Susceptible,Continental,Vietnam_resistance
12227_3#9,1,2011_09395,IN,South_and_South_East_Asia,2011,Human,Susceptible,Susceptible,Continental,Vietnam_1
12227_3#38,1,2012_3395,IN,South_and_South_East_Asia,2012,Seafood_and_Fish,Susceptible,Susceptible,Islands,Oceania
12227_3#39,1,2012_3614,IN,South_and_South_East_Asia,2012,Seafood_and_Fish,Susceptible,Susceptible,Continental,Vietnam_1
12227_3#42,1,2013_2515,IN,South_and_South_East_Asia,2013,Food_Meat_and_Vegetables,Susceptible,Susceptible,Islands,Oceania
12227_3#43,1,2013_2518,IN,South_and_South_East_Asia,2013,Environment,Susceptible,Susceptible,Continental,Vietnam_resistance
12216_4#53,1,09_4703,ID,South_and_South_East_Asia,2009,Human,Susceptible,Susceptible,Continental,Vietnam_1
12216_4#40,1,139K,ID,South_and_South_East_Asia,1940,Human,Susceptible,Susceptible,Continental,Vietnam_1
12216_4#56,1,2010_05280,ID,South_and_South_East_Asia,2010,Human,Susceptible,Susceptible,Continental,Vietnam_1
12227_3#5,1,2011_00823,ID,South_and_South_East_Asia,2011,Human,Susceptible,Susceptible,Continental,Vietnam_1
12227_3#40,1,2012_4538,RE,Indian_Ocean,2012,Food_Meat_and_Vegetables,Susceptible,Susceptible,Islands,Indian_Ocean
12216_4#43,1,99_3134,RE,Indian_Ocean,1999,Human,Susceptible,Susceptible,Islands,Indian_Ocean
12227_3#1,1,2010_06598,RE,Indian_Ocean,2010,Human,Susceptible,Susceptible,Islands,Indian_Ocean
12227_3#2,1,2011_00200,RE,Indian_Ocean,2011,Human,Susceptible,Susceptible,Islands,Indian_Ocean
12227_3#17,1,2012_01076,RE,Indian_Ocean,2012,Human,Susceptible,Susceptible,Islands,Indian_Ocean
12227_3#14,1,2012_02227,RE,Indian_Ocean,2012,Human,Susceptible,Susceptible,Islands,Indian_Ocean
12227_3#16,1,2012_02882,RE,Indian_Ocean,2012,Human,Susceptible,Susceptible,Islands,Indian_Ocean
12227_3#37,1,2012_2981,RE,Indian_Ocean,2012,Environment,Susceptible,Susceptible,Islands,Indian_Ocean
12227_3#36,1,2012_2474,RE,Indian_Ocean,2012,Animal,Susceptible,Susceptible,Islands,Indian_Ocean
12227_3#18,1,2013_00011,RE,Indian_Ocean,2013,Human,Susceptible,Susceptible,Islands,Indian_Ocean
12227_3#41,1,2012_4716,RE,Indian_Ocean,2012,Environment,Susceptible,Susceptible,Islands,Indian_Ocean
12227_3#25,1,2013_05036,RE,Indian_Ocean,2013,Human,Susceptible,Susceptible,Islands,Indian_Ocean
12227_3#46,1,2013_2847,RE,Indian_Ocean,2013,Animal,Susceptible,Susceptible,Islands,Indian_Ocean
12227_3#29,1,2013_3452,RE,Indian_Ocean,2013,Food_Meat_and_Vegetables,Susceptible,Susceptible,Islands,Indian_Ocean
12227_3#32,1,2013_3456,RE,Indian_Ocean,2013,Food_Meat_and_Vegetables,Susceptible,Susceptible,Islands,Indian_Ocean
12227_3#34,1,2013_3667,RE,Indian_Ocean,2013,Animal,Susceptible,Susceptible,Islands,Indian_Ocean
12227_3#30,1,2013_3736,RE,Indian_Ocean,2013,Animal,Susceptible,Susceptible,Islands,Indian_Ocean
12216_4#57,1,2010_09500,LA,South_and_South_East_Asia,2010,Human,Susceptible,Susceptible,Continental,Vietnam_2
12216_4#45,1,00_9879,MG,Indian_Ocean,2000,Human,Susceptible,Susceptible,Islands,Indian_Ocean
