LIST OF FOREIGN GENOMIC SEGMENTS:
Start     End       Origin  HomeCluster  BAPSIndex  StrainName
478150    495574    4       4            2          3948_7_10
502073    509233    4       4            2          3948_7_10
663241    670791    4       4            2          3948_7_10
772512    828945    4       4            2          3948_7_10
1384191   1398309   4       4            2          3948_7_10
1777885   1789445   2       4            2          3948_7_10
1833401   1834936   4       4            2          3948_7_10
1834937   1844975   6       4            2          3948_7_10
1846657   1847973   6       4            2          3948_7_10
1847974   1860751   4       4            2          3948_7_10
1872882   1874154   2       4            2          3948_7_10
478150    495793    4       4            3          3948_7_11
502073    509233    4       4            3          3948_7_11
663527    670791    4       4            3          3948_7_11
772791    828945    4       4            3          3948_7_11
1322710   1330065   4       4            3          3948_7_11
1384191   1398132   4       4            3          3948_7_11
1398133   1400029   3       4            3          3948_7_11
1400030   1417049   4       4            3          3948_7_11
1568775   1584492   4       4            3          3948_7_11
1587947   1600707   4       4            3          3948_7_11
1770438   1770812   7       4            3          3948_7_11
1781338   1784718   4       4            3          3948_7_11
1833401   1860751   4       4            3          3948_7_11
478150    495793    4       4            4          3948_7_2
502073    509233    4       4            4          3948_7_2
663241    670791    4       4            4          3948_7_2
772791    828945    4       4            4          3948_7_2
1384191   1398309   4       4            4          3948_7_2
1833401   1860751   4       4            4          3948_7_2
478150    495793    4       4            5          3948_7_5
502073    509233    4       4            5          3948_7_5
663241    670791    4       4            5          3948_7_5
772512    828945    4       4            5          3948_7_5
1322710   1330065   4       4            5          3948_7_5
1384191   1398309   4       4            5          3948_7_5
1398310   1400139   3       4            5          3948_7_5
1400140   1417049   4       4            5          3948_7_5
1568775   1584492   4       4            5          3948_7_5
1587947   1600707   4       4            5          3948_7_5
1770438   1770812   7       4            5          3948_7_5
1781338   1784718   4       4            5          3948_7_5
1833401   1860751   4       4            5          3948_7_5
2047657   2048036   7       4            5          3948_7_5
478150    495793    4       4            6          3948_7_7
502073    509233    4       4            6          3948_7_7
663241    670791    4       4            6          3948_7_7
772512    828945    4       4            6          3948_7_7
1384191   1398309   4       4            6          3948_7_7
1831898   1860751   4       4            6          3948_7_7
478150    495793    4       4            7          4021_2_10
501972    509233    4       4            7          4021_2_10
663241    670791    4       4            7          4021_2_10
772512    828945    4       4            7          4021_2_10
1384191   1398309   4       4            7          4021_2_10
1831898   1860751   4       4            7          4021_2_10
478150    495793    4       4            8          4021_2_3
501822    508460    4       4            8          4021_2_3
664446    666881    4       4            8          4021_2_3
772791    828945    4       4            8          4021_2_3
1384191   1398309   4       4            8          4021_2_3
1833401   1860751   4       4            8          4021_2_3
478150    495793    4       4            9          4021_2_5
502073    509233    4       4            9          4021_2_5
663241    670791    4       4            9          4021_2_5
772512    828945    4       4            9          4021_2_5
1275591   1276328   5       4            9          4021_2_5
1279928   1280045   2       4            9          4021_2_5
1283129   1283825   4       4            9          4021_2_5
1384191   1398309   4       4            9          4021_2_5
1645386   1645865   4       4            9          4021_2_5
1833401   1860751   4       4            9          4021_2_5
478150    495793    4       4            10         4021_2_6
502073    509233    4       4            10         4021_2_6
663241    670791    4       4            10         4021_2_6
772512    828945    4       4            10         4021_2_6
1275591   1276328   5       4            10         4021_2_6
1279928   1280045   2       4            10         4021_2_6
1283129   1283825   4       4            10         4021_2_6
1384191   1398309   4       4            10         4021_2_6
1645386   1645865   4       4            10         4021_2_6
1833401   1860751   4       4            10         4021_2_6
478150    495793    4       4            11         4021_2_7
502073    509233    4       4            11         4021_2_7
663241    670791    4       4            11         4021_2_7
772512    828945    4       4            11         4021_2_7
1384191   1398309   4       4            11         4021_2_7
1833401   1860751   4       4            11         4021_2_7
958289    962206    2       2            12         4021_3_10
1278449   1280186   2       2            12         4021_3_10
1723167   1723186   7       2            12         4021_3_10
1831695   1839827   2       2            12         4021_3_10
294903    319918    2       2            13         4021_3_11
